Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
542.804108088,2026-01-30T09:41:14.964Z,d_vargas,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Put pasta in ziploc bags
199.39742833,2026-01-30T09:52:37.694Z,d_vargas,True,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Close bags with twist ties
208.70266211,2026-01-30T09:57:36.119Z,d_vargas,True,BAD_HZ /gripper_l/data (98.2/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Close bags with twist ties
140.026791486,2026-01-30T10:02:15.931Z,d_vargas,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Close bags with twist ties
174.669830549,2026-01-30T10:13:54.732Z,d_vargas,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Put pasta in plastic containers
165.039080832,2026-01-30T10:18:15.018Z,d_vargas,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Put pasta in plastic containers
235.337758542,2026-01-30T10:23:45.429Z,d_vargas,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Build Up Box (Mailer)
23.513155265,2026-01-30T10:34:15.042Z,d_vargas,False,TOO_SHORT (23.5s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (93.9/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Build Up Box (Mailer)
81.181365506,2026-01-30T10:40:10.170Z,d_vargas,False,TOO_SHORT (81.2s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Build Up Box (Regular ECT)
74.201702976,2026-01-30T10:42:15.374Z,d_vargas,False,TOO_SHORT (74.2s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,1,Build Up Box (Regular ECT)
