Duration(s),SkillName,BagName,IsValid,FailReason,Operator,Size(MB),Station,Start_Time,SkillCode
543.35,Put pasta in ziploc bags,SKILL_017_20260130_094114,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,2612.05,1,2026-01-30T09:41:14Z,SKILL_017
209.58,Close bags with twist ties,SKILL_018_20260130_095736,True,BAD_HZ /gripper_l/data (98.2/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,948.96,1,2026-01-30T09:57:36Z,SKILL_018
133.87,Built up box (Present),SKILL_023_20260130_105312,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,d_vargas,642.61,1,2026-01-30T10:53:12Z,SKILL_023
199.9,Close bags with twist ties,SKILL_018_20260130_095237,True,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,923.89,1,2026-01-30T09:52:37Z,SKILL_018
129.08,Put hooks on shower courtain,SKILL_024_20260130_110323,True,MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,617.63,1,2026-01-30T11:03:23Z,SKILL_024
24.14,Build Up Box (Mailer),SKILL_021_20260130_103415,False,TOO_SHORT (23.5s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (93.9/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,181.49,1,2026-01-30T10:34:15Z,SKILL_021
4.07,Build Up Box (Regular ECT),SKILL_022_20260130_104808,False,TOO_SHORT (3.2s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,d_vargas,28.47,1,2026-01-30T10:48:08Z,SKILL_022
140.53,Close bags with twist ties,SKILL_018_20260130_100215,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,608.43,1,2026-01-30T10:02:15Z,SKILL_018
175.15,Put pasta in plastic containers,SKILL_019_20260130_101354,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,876.14,1,2026-01-30T10:13:54Z,SKILL_019
165.57,Put pasta in plastic containers,SKILL_019_20260130_101815,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,802.49,1,2026-01-30T10:18:15Z,SKILL_019
35.06,Built up box (Present),SKILL_023_20260130_103642,False,TOO_SHORT (34.0s < 90.0s) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_l (29.5/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw,d_vargas,166.93,1,2026-01-30T10:36:42Z,SKILL_023
109.32,Put hooks on shower courtain,SKILL_024_20260130_110852,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,503.96,1,2026-01-30T11:08:52Z,SKILL_024
235.78,Build Up Box (Mailer),SKILL_021_20260130_102345,True,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,d_vargas,1056.8,1,2026-01-30T10:23:45Z,SKILL_021
116.17,Put hooks on shower courtain,SKILL_024_20260130_110612,True,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg,d_vargas,559.04,1,2026-01-30T11:06:12Z,SKILL_024
81.96,Build Up Box (Regular ECT),SKILL_022_20260130_104010,False,TOO_SHORT (81.2s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,368.16,1,2026-01-30T10:40:10Z,SKILL_022
125.85,Put hooks on shower courtain,SKILL_024_20260130_110028,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,595.47,1,2026-01-30T11:00:28Z,SKILL_024
75.1,Build Up Box (Regular ECT),SKILL_022_20260130_104215,False,TOO_SHORT (74.2s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,d_vargas,352.19,1,2026-01-30T10:42:15Z,SKILL_022
95.69,Build Up Box (Regular ECT),SKILL_022_20260130_104414,True,MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,d_vargas,441.87,1,2026-01-30T10:44:14Z,SKILL_022
45.37,Build Up Box (Regular ECT),SKILL_022_20260130_104558,False,TOO_SHORT (41.4s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg,d_vargas,378.33,1,2026-01-30T10:45:58Z,SKILL_022
8.96,Put hooks on shower courtain,SKILL_024_20260130_110015,False,TOO_SHORT (8.5s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,d_vargas,43.78,1,2026-01-30T11:00:15Z,SKILL_024
89.45,Built up box (Present),SKILL_023_20260130_105616,False,TOO_SHORT (88.9s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg,d_vargas,434.53,1,2026-01-30T10:56:16Z,SKILL_023
109.35,Open locks with their keys,SKILL_020_20260202_141552,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,4009.81,2,2026-02-02T14:15:52Z,SKILL_020
