BagName,Station,SkillID,SkillName,Operator,Start_Time,End_Time,Duration(s),Avg_MBps,Integrity,IsValid,Reason,Path
SKILL_001_20260206_110935,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T11:09:35Z,2026-02-06T11:11:55Z,139.84,37.14,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_001_20260206_110935/SKILL_001_20260206_110935_0.mcap
SKILL_001_20260206_111228,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T11:12:28Z,2026-02-06T11:16:21Z,233.38,31.78,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_001_20260206_111228/SKILL_001_20260206_111228_0.mcap
SKILL_001_20260206_122001,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T12:20:01Z,2026-02-06T12:21:24Z,83.11,36.99,PASS,FALSE,TOO_SHORT (83.1s),/mnt/data00/01/batch_01/SKILL_001_20260206_122001/SKILL_001_20260206_122001_0.mcap
SKILL_001_20260206_111719,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T11:17:19Z,2026-02-06T11:23:48Z,388.95,36.74,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_001_20260206_111719/SKILL_001_20260206_111719_0.mcap
SKILL_001_20260206_124748,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T12:47:48Z,2026-02-06T12:49:06Z,77.77,36.83,PASS,FALSE,TOO_SHORT (77.8s),/mnt/data00/01/batch_01/SKILL_001_20260206_124748/SKILL_001_20260206_124748_0.mcap
SKILL_001_20260206_124908,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T12:49:08Z,2026-02-06T12:49:09Z,0.64,36.32,PASS,FALSE,TOO_SHORT (0.6s),/mnt/data00/01/batch_01/SKILL_001_20260206_124908/SKILL_001_20260206_124908_0.mcap
SKILL_005_20260206_132051,01,SKILL_005,Insert allen keys in package,N_MORA,2026-02-06T13:20:52Z,2026-02-06T13:22:05Z,73.51,37.14,PASS,FALSE,TOO_SHORT (73.5s),/mnt/data00/01/batch_01/SKILL_005_20260206_132051/SKILL_005_20260206_132051_0.mcap
SKILL_001_20260206_122911,01,SKILL_001,Organize beads per color,N_MORA,2026-02-06T12:29:12Z,2026-02-06T12:39:23Z,611.64,32.03,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_001_20260206_122911/SKILL_001_20260206_122911_0.mcap
SKILL_009_20260206_105725,01,SKILL_009,Package Cotton set,N_MORA,2026-02-06T10:57:25Z,2026-02-06T10:59:24Z,119.02,36.57,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_009_20260206_105725/SKILL_009_20260206_105725_0.mcap
SKILL_005_20260206_133702,01,SKILL_005,Insert allen keys in package,N_MORA,2026-02-06T13:37:02Z,2026-02-06T13:41:04Z,241.94,36.18,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_005_20260206_133702/SKILL_005_20260206_133702_0.mcap
SKILL_009_20260206_110245,01,SKILL_009,Package Cotton set,N_MORA,2026-02-06T11:02:45Z,2026-02-06T11:04:32Z,107.10,36.76,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_009_20260206_110245/SKILL_009_20260206_110245_0.mcap
SKILL_009_20260206_105953,01,SKILL_009,Package Cotton set,N_MORA,2026-02-06T10:59:53Z,2026-02-06T11:01:41Z,107.32,36.51,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_009_20260206_105953/SKILL_009_20260206_105953_0.mcap
SKILL_009_20260206_142123,01,SKILL_009,Package Cotton set,N_MORA,2026-02-06T14:21:23Z,2026-02-06T14:23:27Z,124.52,36.72,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_009_20260206_142123/SKILL_009_20260206_142123_0.mcap
SKILL_009_20260206_142512,01,SKILL_009,Package Cotton set,N_MORA,2026-02-06T14:25:12Z,2026-02-06T14:27:27Z,135.33,36.75,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_009_20260206_142512/SKILL_009_20260206_142512_0.mcap
SKILL_012_20260206_104218,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:42:18Z,2026-02-06T10:44:49Z,151.10,37.28,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_012_20260206_104218/SKILL_012_20260206_104218_0.mcap
SKILL_012_20260206_103917,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:39:17Z,2026-02-06T10:41:28Z,130.81,36.97,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_012_20260206_103917/SKILL_012_20260206_103917_0.mcap
SKILL_012_20260206_104509,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:45:09Z,2026-02-06T10:45:10Z,0.52,34.63,PASS,FALSE,TOO_SHORT (0.5s),/mnt/data00/01/batch_01/SKILL_012_20260206_104509/SKILL_012_20260206_104509_0.mcap
SKILL_012_20260206_104526,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:45:26Z,2026-02-06T10:45:26Z,0.62,37.01,PASS,FALSE,TOO_SHORT (0.6s),/mnt/data00/01/batch_01/SKILL_012_20260206_104526/SKILL_012_20260206_104526_0.mcap
SKILL_012_20260206_104527,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:45:27Z,2026-02-06T10:45:28Z,0.52,36.02,PASS,FALSE,TOO_SHORT (0.5s),/mnt/data00/01/batch_01/SKILL_012_20260206_104527/SKILL_012_20260206_104527_0.mcap
SKILL_012_20260206_104651,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T10:46:52Z,2026-02-06T10:47:42Z,49.81,36.92,PASS,FALSE,TOO_SHORT (49.8s),/mnt/data00/01/batch_01/SKILL_012_20260206_104651/SKILL_012_20260206_104651_0.mcap
