Start_Time,Station,Operator,BagName,Duration(s),Size(MB),IsValid,SkillCode,SkillName,FailReason
2026-01-08T21:27:01Z,02,,SKILL_001_20260108_212701,5.53,26.58,FALSE,,Pick & Place (Rápido),TOO_SHORT (4.8s)
2026-01-13T14:36:44Z,01,e_martinez,SKILL_004_20260113_143644,220.85,1157.16,FALSE,SKILL_004,Set Screwdriver package,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r
2026-01-13T17:29:32Z,01,e_martinez,SKILL_002_20260113_172932,19.98,43.10,FALSE,SKILL_002,Organize beads per character,TOO_SHORT (1.4s < 90.0s) | MISSING_CRIT /camera_l/ffmpeg | BAD_HZ /camera_r/depth/image_rect_raw (19.6/30.0) | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (81.2/120.0) | BAD_HZ /camera_l/depth/image_rect_raw (19.6/30.0) | BAD_HZ /gripper_l/data (64.4/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r
2026-01-08T20:17:33Z,01,,SKILL_001_20260108_201733,8.67,47.81,FALSE,,Pick & Place (Rápido),TOO_SHORT (8.2s)
2026-01-12T11:13:11Z,04,,SKILL_003_20260112_111311,10.41,58.29,FALSE,,Soldadura Punto,TOO_SHORT (9.6s)
2026-01-11T23:33:31Z,03,,SKILL_002_20260111_233331,44.14,275.61,FALSE,,Ensamblaje Motor,TOO_SHORT (43.6s)
2026-01-12T09:28:05Z,04,,SKILL_001_20260112_092805,113.50,587.39,TRUE,,Pick & Place (Rápido),
2026-01-13T14:03:23Z,01,e_martinez,SKILL_001_20260113_140323,330.70,1733.51,FALSE,SKILL_001,Organize beads per color,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data
2026-01-08T18:15:01Z,05,,SKILL_001_20260108_181501,51.54,205.57,FALSE,,Pick & Place (Rápido),TOO_SHORT (50.9s)
2026-01-08T18:27:36Z,05,,SKILL_001_20260108_182736,34.13,169.64,FALSE,,Pick & Place (Rápido),TOO_SHORT (33.5s)
2026-01-13T17:34:28Z,01,e_martinez,SKILL_001_20260113_173428,19.41,46.70,FALSE,SKILL_001,Organize beads per color,TOO_SHORT (1.0s < 90.0s) | MISSING_CRIT /gripper_r/data | BAD_HZ /gripper_l/data (94.0/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg
2026-01-13T20:02:56Z,01,e_martinez,SKILL_001_20260113_200256,26.46,28.97,FALSE,SKILL_001,Organize beads per color,TOO_SHORT (1.0s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_r/ffmpeg
2026-01-13T14:30:07Z,01,e_martinez,SKILL_013_20260113_143007,230.30,1186.10,FALSE,SKILL_013,Set up a hand lamp,MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg
2026-01-13T14:36:51Z,02,c_becerra,SKILL_004_20260113_143651,269.60,1452.62,FALSE,SKILL_004,Set Screwdriver package,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data
2026-01-13T17:40:11Z,02,e_martinez,SKILL_001_20260113_174011,42.56,114.82,FALSE,SKILL_001,Organize beads per color,TOO_SHORT (8.2s < 90.0s) | BAD_HZ /gripper_l/data (40.1/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | BAD_HZ /camera_r/depth/image_rect_raw (10.8/30.0) | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (35.5/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-13T14:10:42Z,01,e_martinez,SKILL_012_20260113_141042,161.66,787.50,FALSE,SKILL_012,Put pasta in jars,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg
2026-01-13T14:23:11Z,01,e_martinez,SKILL_005_20260113_142311,88.66,406.89,FALSE,SKILL_005,Insert allen keys in package,TOO_SHORT (87.8s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data
2026-01-13T14:03:30Z,02,c_becerra,SKILL_001_20260113_140330,321.18,1770.09,FALSE,SKILL_001,Organize beads per color,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data
2026-01-13T14:43:30Z,01,e_martinez,SKILL_016_20260113_144330,198.28,988.69,FALSE,SKILL_016,Package a sewing set,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data
2026-01-13T07:15:23Z,02,,SKILL_001_20260113_071523,14.50,56.80,FALSE,,Pick & Place (Rápido),TOO_SHORT (14.0s)
2026-01-13T16:30:02Z,02,e_martinez,SKILL_001_20260113_163002,18.27,56.01,FALSE,SKILL_001,Organize beads per color,TOO_SHORT (15.7s < 90.0s) | BAD_HZ /gripper_l/data (6.8/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | BAD_HZ /camera_r/depth/image_rect_raw (1.1/30.0) | MISSING_CRIT /pika_pose_l | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (6.8/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-14T07:30:49Z,01,e_martinez,SKILL_004_20260114_073049,261.90,1315.78,FALSE,SKILL_004,Set Screwdriver package,BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg
